id,year,month,day,mets,pdf,label
3143,1901,11,14,126064022347197.xml,126064022354786.pdf,1901-11-14
3144,1901,12,03,1260640223491241.xml,1260640223497467.pdf,1901-12-03
3145,1901,12,04,1260640223527450.xml,1260640223533018.pdf,1901-12-04
3146,1901,11,13,12606402235584.xml,126064022313297.pdf,1901-11-13
3147,1901,12,05,1260640223560201.xml,1260640223565742.pdf,1901-12-05
3148,1901,12,06,1260640223590778.xml,1260640223597908.pdf,1901-12-06
3149,1901,12,07,1260640223624473.xml,1260640223629855.pdf,1901-12-07
3150,1901,12,09,1260640223656155.xml,1260640223661442.pdf,1901-12-09
3151,1901,12,10,1260640223687418.xml,1260640223692680.pdf,1901-12-10
3152,1901,12,11,1260640223718570.xml,1260640223724045.pdf,1901-12-11
3153,1901,12,12,1260640223752553.xml,1260640223760802.pdf,1901-12-12
3154,1901,12,13,1260640223791535.xml,1260640223799113.pdf,1901-12-13
3155,1901,11,15,126064022387933.xml,126064022395572.pdf,1901-11-15
3156,1901,12,14,1260640223892456.xml,1260640223897878.pdf,1901-12-14
3157,1902,01,03,1260640223922629.xml,1260640223928019.pdf,1902-01-03
3158,1902,01,04,1260640223953796.xml,1260640223960284.pdf,1902-01-04
3159,1902,01,06,1260640223996514.xml,12606402242524.pdf,1902-01-06
3160,1902,01,08,1260640224114114.xml,1260640224121312.pdf,1902-01-08
3161,1902,01,09,1260640224152118.xml,1260640224159607.pdf,1902-01-09
3162,1902,01,10,1260640224190216.xml,1260640224196933.pdf,1902-01-10
3163,1902,01,11,1260640224228796.xml,1260640224235733.pdf,1902-01-11
3164,1902,01,13,1260640224267825.xml,1260640224274750.pdf,1902-01-13
3165,1902,01,14,1260640224306061.xml,1260640224312509.pdf,1902-01-14
3166,1902,01,15,1260640224344843.xml,1260640224351152.pdf,1902-01-15
3167,1902,01,16,1260640224376547.xml,1260640224382100.pdf,1902-01-16
3168,1902,01,17,1260640224406344.xml,1260640224411663.pdf,1902-01-17
3169,1902,01,18,1260640224439040.xml,1260640224444374.pdf,1902-01-18
3170,1902,01,20,1260640224469820.xml,1260640224475120.pdf,1902-01-20
3171,1902,01,21,1260640224503336.xml,1260640224512353.pdf,1902-01-21
3172,1902,01,22,1260640224537870.xml,1260640224543117.pdf,1902-01-22
3173,1902,01,23,1260640224570064.xml,1260640224575311.pdf,1902-01-23
3174,1902,01,24,1260640224601842.xml,1260640224607292.pdf,1902-01-24
3175,1902,01,25,1260640224633526.xml,1260640224638864.pdf,1902-01-25
3176,1902,01,27,1260640224663454.xml,1260640224668774.pdf,1902-01-27
